           1          15
          81   600.000000       542.857178    
          86   600.000000       571.428589    
          91   600.000000       600.000000    
          96   600.000000       628.571411    
         101   600.000000       657.142822    
         106   600.000000       685.714233    
         111   600.000000       714.285645    
         116   600.000000       742.857056    
         121   600.000000       771.428467    
         125   600.000000       800.000000    
          19          15
         125   600.000000       800.000000    
         132   600.000000       828.571411    
         139   600.000000       857.142822    
         146   600.000000       885.714233    
         153   600.000000       914.285645    
         160   600.000000       942.857056    
         167   600.000000       971.428467    
         174   600.000000       999.999878    
         181   600.000000       1028.57129    
         188   600.000000       1057.14270    
         195   600.000000       1085.71411    
         202   600.000000       1114.28552    
         209   600.000000       1142.85693    
         216   600.000000       1171.42834    
         221   600.000000       1200.00000    
          20          15
         221   600.000000       1200.00000    
         230   600.000000       1228.57141    
         239   600.000000       1257.14282    
         248   600.000000       1285.71423    
         257   600.000000       1314.28564    
         266   600.000000       1342.85706    
         275   600.000000       1371.42847    
         284   600.000000       1399.99988    
         293   600.000000       1428.57129    
         302   600.000000       1457.14270    
         311   600.000000       1485.71411    
         320   600.000000       1514.28552    
         329   600.000000       1542.85693    
         338   600.000000       1571.42834    
         344   600.000000       1600.00000    
          21          15
         344   600.000000       1600.00000    
         352   600.000000       1628.57141    
         361   600.000000       1657.14282    
         370   600.000000       1685.71423    
         379   600.000000       1714.28564    
         388   600.000000       1742.85706    
         397   600.000000       1771.42847    
         406   600.000000       1799.99988    
         415   600.000000       1828.57129    
         424   600.000000       1857.14270    
         433   600.000000       1885.71411    
         442   600.000000       1914.28552    
         451   600.000000       1942.85693    
         460   600.000000       1971.42834    
         466   600.000000       2000.00000    
          22          15
         466   600.000000       2000.00000    
         474   600.000000       2028.57141    
         483   600.000000       2057.14282    
         492   600.000000       2085.71436    
         501   600.000000       2114.28589    
         510   600.000000       2142.85742    
         519   600.000000       2171.42896    
         528   600.000000       2200.00049    
         537   600.000000       2228.57202    
         546   600.000000       2257.14355    
         555   600.000000       2285.71509    
         564   600.000000       2314.28662    
         573   600.000000       2342.85815    
         582   600.000000       2371.42969    
         588   600.000000       2400.00000    
          23          15
         588   600.000000       2400.00000    
         596   600.000000       2428.57153    
         605   600.000000       2457.14307    
         614   600.000000       2485.71460    
         623   600.000000       2514.28613    
         632   600.000000       2542.85767    
         641   600.000000       2571.42920    
         650   600.000000       2600.00073    
         659   600.000000       2628.57227    
         668   600.000000       2657.14380    
         677   600.000000       2685.71533    
         686   600.000000       2714.28687    
         695   600.000000       2742.85840    
         704   600.000000       2771.42993    
         710   600.000000       2800.00000    
          24          15
         710   600.000000       2800.00000    
         718   600.000000       2828.57153    
         727   600.000000       2857.14307    
         736   600.000000       2885.71460    
         745   600.000000       2914.28613    
         754   600.000000       2942.85767    
         763   600.000000       2971.42920    
         772   600.000000       3000.00073    
         781   600.000000       3028.57227    
         790   600.000000       3057.14380    
         799   600.000000       3085.71533    
         808   600.000000       3114.28687    
         817   600.000000       3142.85840    
         826   600.000000       3171.42993    
         832   600.000000       3200.00000    
          25          15
         832   600.000000       3200.00000    
         840   600.000000       3228.57153    
         849   600.000000       3257.14307    
         858   600.000000       3285.71460    
         867   600.000000       3314.28613    
         876   600.000000       3342.85767    
         885   600.000000       3371.42920    
         894   600.000000       3400.00073    
         903   600.000000       3428.57227    
         912   600.000000       3457.14380    
         921   600.000000       3485.71533    
         930   600.000000       3514.28687    
         939   600.000000       3542.85840    
         948   600.000000       3571.42993    
         954   600.000000       3600.00000    
          26          15
         954   600.000000       3600.00000    
         962   600.000000       3628.57153    
         971   600.000000       3657.14307    
         980   600.000000       3685.71460    
         989   600.000000       3714.28613    
         998   600.000000       3742.85767    
        1007   600.000000       3771.42920    
        1016   600.000000       3800.00073    
        1025   600.000000       3828.57227    
        1034   600.000000       3857.14380    
        1043   600.000000       3885.71533    
        1052   600.000000       3914.28687    
        1061   600.000000       3942.85840    
        1070   600.000000       3971.42993    
        1076   600.000000       4000.00000    
          27          15
        1076   600.000000       4000.00000    
        1084   600.000000       4028.57153    
        1093   600.000000       4057.14307    
        1102   600.000000       4085.71460    
        1111   600.000000       4114.28613    
        1120   600.000000       4142.85742    
        1129   600.000000       4171.42871    
        1138   600.000000       4200.00000    
        1147   600.000000       4228.57129    
        1156   600.000000       4257.14258    
        1165   600.000000       4285.71387    
        1174   600.000000       4314.28516    
        1183   600.000000       4342.85645    
        1192   600.000000       4371.42773    
        1198   600.000000       4400.00000    
          28          15
        1198   600.000000       4400.00000    
        1206   600.000000       4428.57129    
        1215   600.000000       4457.14258    
        1224   600.000000       4485.71387    
        1233   600.000000       4514.28516    
        1242   600.000000       4542.85645    
        1251   600.000000       4571.42773    
        1260   600.000000       4599.99902    
        1269   600.000000       4628.57031    
        1278   600.000000       4657.14160    
        1287   600.000000       4685.71289    
        1296   600.000000       4714.28418    
        1305   600.000000       4742.85547    
        1314   600.000000       4771.42676    
        1320   600.000000       4800.00000    
          29          15
        1320   600.000000       4800.00000    
        1328   600.000000       4828.57129    
        1337   600.000000       4857.14258    
